Sample	BT549_rep1	BT549_rep2	HCC70_rep1	HCC70_rep2	HMEC_rep1	HMEC_rep2	MB231
Valid_interaction_pairs	224246910	202868946	299891225	287985409	249747489	242683175	235793172
Valid_interaction_pairs_FF	54740403	49850444	74870239	71839180	62290197	60059988	58700189
Valid_interaction_pairs_RR	54736554	49864134	74928320	71888711	62309735	60070444	58732893
Valid_interaction_pairs_RF	50574978	45808477	73271221	69775829	59851824	55759046	57601029
Valid_interaction_pairs_FR	64194975	57345891	76821445	74481689	65295733	66793697	60759061
Dangling_end_pairs	8209906	4883698	1747125	1455327	3851670	7667180	4781048
Religation_pairs	12492030	8552581	2871692	3179289	4912366	9544408	5512275
Self_Cycle_pairs	120636	28430	56846	51970	76955	66824	271698
Single-end_pairs	0	0	0	0	0	0	0
Dumped_pairs	8359	5692	3899	3847	5326	8225	5223
